YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1975,999.90,999.90,999.90,999.90,999.90,999.90,999.90,5.51,1.14,-7.13,-10.52,-19.01,999.90,999.90,999.90,-5.50,999.90
1976,-14.68,-12.47,-7.51,-10.74,-2.05,3.62,6.30,5.07,-0.58,-3.72,-7.52,-7.82,-15.39,-6.77,5.00,-3.94,-5.27
1977,-10.82,-17.37,-23.15,-15.70,-4.19,1.98,6.50,5.35,0.40,-4.20,-6.53,-8.92,-12.00,-14.35,4.61,-3.44,-6.30
1978,-20.29,-19.93,-17.24,-9.97,-3.37,2.21,6.57,5.48,-1.49,-5.53,-10.75,-12.23,-16.38,-10.19,4.75,-5.92,-6.94
1979,-19.90,-20.25,-16.43,-17.24,-7.50,-0.06,8.43,5.32,1.25,-4.03,-6.42,-12.20,-17.46,-13.72,4.56,-3.07,-7.42
1980,-16.50,-14.43,-14.90,-9.47,-2.93,3.82,6.46,4.67,1.24,-7.10,-14.53,-18.41,-14.38,-9.10,4.98,-6.80,-6.32
1981,-21.54,-12.39,-19.29,-12.07,-4.83,0.38,5.80,5.89,1.51,-3.59,-7.43,-14.81,-17.45,-12.06,4.02,-3.17,-7.16
1982,-19.47,-15.46,-8.71,-9.94,-3.80,1.32,5.63,4.29,-2.62,-5.27,-8.42,-13.29,-16.58,-7.48,3.75,-5.44,-6.44
1983,-10.81,-16.10,-9.84,-11.48,-3.21,1.53,6.46,4.52,1.47,-6.23,-14.23,-17.04,-13.40,-8.18,4.17,-6.33,-5.93
1984,-8.87,-9.22,-14.61,-7.86,-2.37,3.08,7.09,5.33,1.76,-2.43,-4.62,-2.49,-11.71,-8.28,5.17,-1.76,-4.15
1985,-12.54,-9.57,-11.93,-13.54,-3.29,3.48,7.62,5.04,0.65,-6.87,-9.39,-13.59,-8.20,-9.59,5.38,-5.20,-4.40
1986,-15.95,-22.41,-14.38,-14.59,-2.84,4.23,7.00,5.57,-1.27,-4.07,-9.15,-11.44,-17.32,-10.60,5.60,-4.83,-6.79
1987,-11.80,-18.17,-14.06,-9.21,-3.19,2.41,5.20,4.44,-1.12,-6.52,-10.05,-17.82,-13.80,-8.82,4.02,-5.90,-6.13
1988,-17.08,-14.99,-19.91,-18.15,-2.20,3.45,7.07,5.92,-1.23,-9.41,-16.85,-22.41,-16.63,-13.42,5.48,-9.16,-8.43
1989,-18.72,-19.18,-15.36,-7.71,-1.24,2.87,5.77,5.37,1.39,-5.57,-9.14,-15.32,-20.10,-8.10,4.67,-4.44,-6.99
1990,-6.23,-9.88,-15.46,-8.05,-3.81,3.06,7.04,5.83,5.48,-2.39,-11.93,-8.86,-10.48,-9.11,5.31,-2.95,-4.31
1991,-12.33,-9.19,-8.32,-11.82,-3.49,2.90,5.99,6.70,0.77,-5.28,-11.65,-12.75,-10.13,-7.88,5.20,-5.39,-4.55
1992,-12.61,-18.00,-11.66,-6.75,-2.23,3.53,6.48,4.85,3.09,-8.25,-6.75,-12.10,-14.45,-6.88,4.95,-3.97,-5.09
1993,-17.10,-16.67,-16.73,-14.63,-3.59,2.77,8.52,6.88,0.09,-8.40,-2.54,-10.95,-15.29,-11.65,6.06,-3.62,-6.13
1994,-16.69,-16.09,-9.84,-6.53,-3.55,3.46,5.58,3.77,0.61,-8.82,-14.15,-7.99,-14.58,-6.64,4.27,-7.45,-6.10
1995,-16.55,-14.37,-15.03,-7.03,-2.28,3.79,6.65,5.73,2.31,-6.12,-14.28,-14.24,-12.97,-8.11,5.39,-6.03,-5.43
1996,-9.53,-17.37,-6.78,-9.63,-4.53,2.75,5.77,5.49,1.10,-3.83,-5.16,-15.91,-13.71,-6.98,4.67,-2.63,-4.66
1997,-17.91,-16.14,-12.25,-13.83,-3.06,2.96,5.79,5.09,0.73,-4.96,-8.27,-9.95,-16.65,-9.71,4.61,-4.17,-6.48
1998,-20.02,-19.83,-13.39,-12.61,-5.30,2.96,8.97,7.27,0.62,-3.69,-5.49,-11.69,-16.60,-10.43,6.40,-2.85,-5.87
1999,-10.19,-12.66,-8.00,-10.57,-1.91,3.20,6.90,5.11,3.22,-5.94,-3.84,-10.03,-11.51,-6.83,5.07,-2.19,-3.86
2000,-8.70,-11.03,-14.73,-12.67,-4.05,2.47,6.62,5.31,2.31,1.68,-3.74,-9.58,-9.92,-10.48,4.80,0.08,-3.88
