YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2001,-8.32,-9.21,-16.75,-12.42,-2.62,3.94,6.82,6.87,3.58,-5.02,-11.17,-8.78,-9.04,-10.60,5.88,-4.20,-4.49
2002,-12.91,-13.28,-18.39,-5.93,-3.05,4.12,7.48,7.88,0.18,-3.07,-5.86,-7.46,-11.66,-9.12,6.49,-2.92,-4.30
2003,-18.31,-12.06,-17.65,-9.60,-2.48,3.09,7.47,6.68,0.71,-4.25,-7.07,-18.89,-12.61,-9.91,5.75,-3.54,-5.08
2004,-16.91,-17.50,-7.48,-4.19,-1.58,3.31,8.36,6.07,1.57,-3.69,-11.44,-6.86,-17.77,-4.42,5.91,-4.52,-5.20
2005,-7.59,-6.86,-17.00,-9.01,-1.13,4.69,7.42,7.04,-0.05,-5.13,-3.95,-3.74,-7.10,-9.05,6.38,-3.04,-3.20
2006,-2.63,-9.85,-13.29,0.01,1.07,4.96,7.69,6.78,1.67,-5.52,-4.45,-6.34,-5.41,-4.07,6.48,-2.77,-1.44
2007,-9.04,-9.19,-6.74,-9.62,-1.24,5.28,8.09,6.55,1.87,-2.48,-5.42,-8.60,-8.19,-5.87,6.64,-2.01,-2.36
2008,-7.64,-8.85,-14.86,-10.76,-1.94,3.63,6.60,5.32,3.42,-5.79,-8.56,-8.03,-8.36,-9.19,5.18,-3.64,-4.00
2009,-12.97,-11.46,-11.73,-16.06,-1.03,3.13,7.85,6.60,1.78,-3.68,-2.00,-5.47,-10.82,-9.61,5.86,-1.30,-3.97
2010,-7.40,-10.21,-15.82,-7.69,0.05,3.71,6.89,5.10,2.09,-2.94,-11.17,-11.56,-7.69,-7.82,5.23,-4.01,-3.57
2011,-15.32,-13.18,-12.75,-5.96,-1.52,5.05,7.06,6.99,4.47,-2.52,-6.25,-6.61,-13.35,-6.74,6.37,-1.43,-3.79
2012,-3.57,-5.40,-5.45,-9.17,-2.44,4.04,6.82,5.82,3.17,-2.82,-6.52,-7.95,-5.19,-5.69,5.56,-2.06,-1.84
2013,-8.58,-11.00,-14.23,-9.36,-1.41,4.55,7.77,7.56,3.71,-4.63,-8.05,-8.49,-9.18,-8.33,6.63,-2.99,-3.47
2014,-4.36,-1.82,-8.89,-9.77,-1.92,3.97,7.52,6.43,1.72,-1.99,-6.59,-9.74,-4.89,-6.86,5.97,-2.29,-2.02
2015,-7.30,-14.27,-6.94,-5.41,-1.95,4.80,8.35,7.55,2.80,-1.90,-3.40,-6.15,-10.44,-4.77,6.90,-0.83,-2.28
2016,-3.80,-5.85,-7.15,-6.40,1.55,5.15,9.25,6.05,4.30,3.15,-0.70,-6.35,-5.27,-4.00,6.82,2.25,-0.05
2017,-10.35,-7.00,-11.75,-8.40,-3.60,4.85,7.15,6.40,5.15,0.50,-3.65,-5.00,-7.90,-7.92,6.13,0.67,-2.25
2018,-5.60,-5.55,-12.65,-8.35,1.90,4.15,7.55,7.10,1.70,-1.65,-3.85,-5.75,-5.38,-6.37,6.27,-1.27,-1.69
2019,-10.50,-10.95,-12.80,-3.75,-2.15,5.05,8.55,6.30,2.60,-4.60,-7.30,-10.95,-9.07,-6.23,6.63,-3.10,-2.94
2020,-13.65,-15.35,-16.20,-9.00,0.20,4.80,9.95,7.35,3.50,-2.15,-2.95,-7.15,-13.32,-8.33,7.37,-0.53,-3.70
2021,-7.85,-6.95,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-7.32,999.90,999.90,999.90,999.90
