YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1978,-17.94,-17.85,-16.54,-9.09,-3.15,1.70,6.05,5.50,-0.50,-4.47,-9.67,-10.75,-14.87,-9.59,4.42,-4.88,-6.23
1979,-19.41,-19.31,-15.27,-15.92,-7.91,-0.16,7.14,5.28,1.65,-3.60,-5.76,-11.25,-16.49,-13.03,4.09,-2.57,-7.00
1980,-15.05,-13.02,-15.11,-10.31,-3.14,3.57,6.12,4.72,1.88,-6.13,-13.06,-17.97,-13.11,-9.52,4.80,-5.77,-5.90
1981,-20.94,-12.97,-19.62,-12.49,-5.64,0.08,5.29,5.68,2.04,-2.90,-6.31,-13.42,-17.29,-12.58,3.68,-2.39,-7.15
1982,-18.29,-16.01,-9.74,-10.02,-4.85,1.03,5.24,4.62,-2.16,-4.91,-8.93,-12.74,-15.91,-8.20,3.63,-5.33,-6.45
1983,-11.48,-16.48,-10.51,-11.94,-3.52,1.30,6.01,4.57,1.76,-5.42,-12.33,-16.30,-13.57,-8.66,3.96,-5.33,-5.90
1984,-8.29,-8.86,-13.98,-7.66,-2.89,2.08,6.17,5.07,1.68,-2.12,-4.31,-2.44,-11.15,-8.18,4.44,-1.58,-4.12
1985,-11.50,-8.96,-10.53,-11.30,-3.34,2.71,7.45,4.81,1.08,-5.89,-8.26,-12.07,-7.63,-8.39,4.99,-4.36,-3.85
1986,-14.67,-19.63,-12.77,-13.05,-3.06,3.17,6.77,5.19,-1.09,-3.86,-8.43,-10.52,-15.46,-9.63,5.04,-4.46,-6.12
1987,-10.74,-15.51,-13.19,-8.11,-3.48,1.96,4.74,4.26,-0.80,-5.90,-9.12,-16.59,-12.26,-8.26,3.65,-5.27,-5.53
1988,-15.36,-13.18,-17.82,-16.46,-2.76,1.92,6.60,5.40,-1.10,-8.56,-15.00,-19.90,-15.04,-12.35,4.64,-8.22,-7.74
1989,-16.19,-17.10,-14.33,-7.41,-1.55,2.50,5.33,5.01,1.28,-5.37,-8.65,-14.11,-17.73,-7.76,4.28,-4.25,-6.37
1990,-6.09,-9.61,-14.15,-7.55,-3.94,2.59,6.69,5.69,5.13,-2.25,-11.31,-8.45,-9.94,-8.55,4.99,-2.81,-4.08
1991,-11.07,-8.31,-7.68,-10.83,-3.47,2.32,5.17,5.91,0.81,-4.78,-11.10,-11.60,-9.28,-7.33,4.47,-5.02,-4.29
1992,-11.77,-15.61,-11.08,-6.82,-3.13,2.65,6.19,4.57,2.97,-7.53,-6.36,-11.21,-12.99,-7.01,4.47,-3.64,-4.79
1993,-16.01,-15.30,-14.87,-12.95,-3.80,2.00,8.02,6.39,0.16,-7.83,-2.95,-10.39,-14.17,-10.54,5.47,-3.54,-5.70
1994,-15.41,-14.29,-9.57,-6.25,-3.84,2.67,5.05,3.37,0.46,-8.11,-12.57,-7.81,-13.36,-6.55,3.70,-6.74,-5.74
1995,-15.49,-13.75,-14.12,-6.44,-2.72,2.59,6.50,5.51,2.46,-5.93,-13.29,-12.75,-12.35,-7.76,4.87,-5.59,-5.21
1996,-9.26,-15.41,-6.60,-8.80,-4.60,1.88,5.26,4.92,0.92,-3.61,-4.74,-14.14,-12.47,-6.67,4.02,-2.48,-4.40
1997,-16.10,-14.25,-11.20,-12.55,-3.28,2.49,5.42,4.65,0.73,-4.69,-7.56,-8.97,-14.83,-9.01,4.19,-3.84,-5.87
1998,-17.40,-18.49,-12.51,-11.02,-5.35,2.30,8.47,6.86,0.45,-3.78,-5.11,-11.07,-14.95,-9.63,5.88,-2.81,-5.38
1999,-9.81,-12.53,-8.25,-9.99,-2.20,2.76,6.65,5.00,2.97,-5.84,-3.68,-8.83,-11.14,-6.81,4.80,-2.18,-3.83
2000,-8.08,-9.66,-13.47,-11.35,-4.15,1.74,5.79,4.88,2.09,1.26,-3.95,-9.45,-8.86,-9.66,4.14,-0.20,-3.64
2001,-8.02,-8.74,-14.54,-10.47,-3.13,2.36,5.98,6.39,2.91,-5.01,-11.05,-8.57,-8.74,-9.38,4.91,-4.38,-4.40
2002,-11.74,-12.98,-16.35,-6.32,-3.83,3.31,6.81,6.82,0.16,-3.07,-5.11,-7.33,-11.10,-8.83,5.65,-2.67,-4.24
2003,-17.39,-11.53,-15.80,-9.15,-2.81,2.78,6.56,6.21,0.48,-3.93,-6.64,-18.05,-12.08,-9.25,5.18,-3.36,-4.88
2004,-16.65,-17.10,-7.12,-3.66,-2.31,2.82,7.73,5.26,0.93,-3.96,-11.33,-7.11,-17.27,-4.36,5.27,-4.79,-5.29
2005,-7.73,-7.23,-15.85,-8.98,-2.28,3.21,6.26,6.04,-0.46,-5.50,-4.29,-3.96,-7.36,-9.04,5.17,-3.42,-3.66
2006,-3.50,-9.54,-13.01,-1.07,-0.23,3.74,6.42,5.66,0.89,-5.96,-4.76,-6.59,-5.67,-4.77,5.27,-3.28,-2.11
2007,-9.27,-8.70,-6.99,-9.72,-2.48,3.61,6.56,5.31,1.05,-2.81,-5.28,-7.48,-8.19,-6.40,5.16,-2.35,-2.94
2008,-6.40,-8.09,-13.42,-9.85,-2.22,2.75,6.10,5.14,3.01,-5.40,-7.78,-7.28,-7.32,-8.50,4.66,-3.39,-3.64
2009,-11.42,-10.49,-10.99,-14.31,-1.55,2.28,7.41,6.41,1.73,-3.37,-2.57,-5.23,-9.73,-8.95,5.37,-1.40,-3.68
2010,-7.45,-10.35,-13.00,-7.79,-0.72,2.79,6.28,4.68,1.43,-2.85,-10.25,-10.72,-7.68,-7.17,4.58,-3.89,-3.54
2011,-14.46,-12.17,-12.06,-5.59,-1.93,4.11,6.80,6.39,4.10,-2.53,-6.06,-6.13,-12.45,-6.53,5.77,-1.50,-3.68
2012,-3.63,-5.26,-4.83,-8.96,-2.58,3.25,6.25,5.21,3.06,-2.32,-6.47,-7.22,-5.01,-5.46,4.90,-1.91,-1.87
2013,-7.63,-9.92,-13.21,-8.78,-1.85,3.29,6.88,6.88,3.77,-4.62,-8.35,-8.35,-8.26,-7.95,5.68,-3.07,-3.40
2014,-4.47,-2.36,-8.60,-9.36,-2.91,2.80,6.57,6.02,1.35,-1.89,-6.30,-8.71,-5.06,-6.96,5.13,-2.28,-2.29
2015,-7.05,-14.07,-6.83,-5.68,-2.92,3.53,7.86,6.99,2.59,-1.83,-3.72,-6.38,-9.94,-5.14,6.13,-0.99,-2.49
2016,999.90,-6.12,-6.75,-6.18,0.96,4.29,8.76,5.49,3.85,2.70,-1.06,999.90,-6.53,-3.99,6.18,1.83,-0.63
2017,-10.40,-6.98,-11.24,-8.13,-4.28,3.64,6.24,5.67,4.81,0.34,-4.02,-4.84,-7.91,-7.88,5.18,0.38,-2.56
2018,-5.59,-5.80,-12.35,-8.54,0.64,3.05,6.27,6.47,1.40,-1.63,-3.86,-5.80,-5.41,-6.75,5.26,-1.36,-2.07
2019,-9.58,-9.91,-10.97,-3.66,-2.66,3.98,7.66,5.61,2.50,-4.28,-6.99,-10.21,-8.43,-5.76,5.75,-2.92,-2.84
2020,-12.51,-14.32,-15.35,-8.65,-0.81,3.61,9.07,6.86,2.69,-2.18,999.90,-7.12,-12.35,-8.27,6.51,-1.80,-3.98
2021,-7.97,-6.02,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-7.04,999.90,999.90,999.90,999.90
