YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1932,-12.15,-10.29,-10.32,-11.33,-3.27,2.60,5.97,5.14,0.42,-3.47,-8.40,-6.75,-10.44,-8.31,4.57,-3.82,-4.50
1933,999.90,-8.68,-14.57,-12.79,-3.02,2.08,5.51,4.76,2.62,-4.91,-6.22,-7.05,-7.99,-10.13,4.12,-2.84,-4.21
1934,-7.70,-14.11,-6.16,-12.22,-3.29,2.27,5.95,6.57,3.72,-3.36,-6.23,-7.38,-9.62,-7.22,4.93,-1.96,-3.47
1935,-13.00,-13.44,-12.44,-12.10,-6.45,1.86,6.19,5.61,-0.93,-1.03,-2.75,-7.84,-11.27,-10.33,4.55,-1.57,-4.66
1936,-8.86,-15.89,-20.81,-11.39,-0.07,1.83,5.10,5.33,1.11,-3.38,-7.50,-8.53,-10.86,-10.76,4.09,-3.26,-5.20
1937,-2.95,-15.03,-11.65,-6.27,-1.87,2.10,5.75,5.53,1.03,-3.36,-6.46,-4.31,-8.84,-6.60,4.46,-2.93,-3.48
1938,-8.25,-8.77,-11.28,-9.25,-3.23,3.33,5.72,4.74,0.73,-1.09,-5.33,-0.68,-7.11,-7.92,4.60,-1.90,-3.08
1939,-10.87,-10.32,-11.07,-9.56,-2.01,0.92,6.47,5.63,0.14,-3.77,-6.70,-10.88,-7.29,-7.55,4.34,-3.44,-3.49
1940,-9.46,-14.97,-16.18,-14.57,-1.60,2.53,5.53,3.94,3.03,-3.91,-7.23,-9.23,-11.77,-10.78,4.00,-2.70,-5.31
1941,-16.42,-15.14,-14.52,-13.75,-5.91,1.47,6.12,999.90,999.90,999.90,999.90,999.90,-13.60,-11.39,4.11,999.90,-6.52
1942,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1943,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1944,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1945,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1946,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1947,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,-12.89,999.90,999.90,999.90,999.90,999.90
1948,-18.39,-16.20,-14.97,-9.78,-5.53,1.67,5.79,3.31,1.39,-3.60,-13.34,-16.25,-15.83,-10.09,3.59,-5.18,-6.88
1949,-17.47,-8.01,-9.53,-12.37,-4.58,1.72,4.26,3.74,-0.65,-8.05,-5.21,-4.90,-13.91,-8.83,3.24,-4.64,-6.03
1950,-7.20,-11.37,-9.40,-6.79,-4.04,1.57,6.52,5.33,2.15,-0.90,-4.02,-12.94,-7.82,-6.74,4.47,-0.92,-2.75
1951,-15.05,-8.29,-15.89,-13.10,-4.67,1.67,5.86,5.35,0.09,-4.33,-14.04,-14.18,-12.09,-11.22,4.29,-6.09,-6.28
1952,-13.99,-17.52,-17.82,-11.07,-4.50,4.08,6.11,3.57,0.57,-4.00,-5.41,-13.18,-15.23,-11.13,4.59,-2.95,-6.18
1953,-14.43,-11.71,-19.98,-12.88,-3.15,3.59,7.21,5.64,0.18,-0.86,-1.23,-4.82,-13.11,-12.00,5.48,-0.64,-5.07
1954,-8.54,-5.62,-12.47,-7.29,-1.09,2.46,5.40,5.07,0.11,-3.73,-3.35,-4.24,-6.33,-6.95,4.31,-2.32,-2.82
1955,-15.64,-12.57,-10.10,-8.05,-5.23,1.97,4.31,4.13,2.55,-5.61,-12.22,-13.96,-10.82,-7.79,3.47,-5.09,-5.06
1956,-10.45,-7.94,-13.54,-11.09,-5.00,1.31,6.05,4.97,-0.73,-4.00,-3.13,-3.71,-10.78,-9.88,4.11,-2.62,-4.79
1957,-7.50,-10.80,-10.66,-7.04,-2.21,2.96,6.10,5.47,1.79,0.60,-6.01,-10.73,-7.34,-6.64,4.84,-1.21,-2.58
1958,-7.49,-11.18,-15.15,-10.28,-2.25,2.29,5.67,4.43,-0.20,-3.85,-7.77,-10.29,-9.80,-9.23,4.13,-3.94,-4.71
1959,-17.68,-14.26,-15.16,-8.70,-1.63,2.07,4.98,4.75,0.75,-0.79,999.90,-7.02,-14.08,-8.50,3.93,-2.08,-5.18
1960,-10.00,-16.10,-9.15,-7.39,-1.20,2.25,7.29,5.09,2.88,-7.79,-7.32,-12.90,-11.04,-5.91,4.88,-4.08,-4.04
1961,-12.40,-16.98,-12.46,-11.37,-3.54,2.93,6.74,5.89,1.07,-1.11,-6.09,-14.85,-14.09,-9.12,5.19,-2.04,-5.02
1962,-13.47,-14.30,-19.08,-12.86,-6.81,1.13,4.22,4.04,-0.15,-3.86,-5.61,-15.55,-14.21,-12.92,3.13,-3.21,-6.80
1963,-19.78,-23.19,-15.66,-12.69,-3.24,1.62,4.50,5.36,0.48,-2.31,-12.90,-14.30,-19.51,-10.53,3.83,-4.91,-7.78
1964,-14.87,-15.83,-10.21,-11.85,-4.15,0.64,4.51,5.27,0.45,-4.05,-9.47,-8.10,-15.00,-8.74,3.47,-4.36,-6.16
1965,-15.38,-13.94,-18.79,-8.06,-4.77,1.61,5.35,4.32,0.43,-5.20,-7.22,-11.71,-12.47,-10.54,3.76,-4.00,-5.81
1966,-21.65,-17.45,-21.20,-9.08,-7.38,0.98,6.58,4.66,-2.06,-9.81,-11.51,-5.51,-16.94,-12.55,4.07,-7.79,-8.30
1967,-21.26,-15.59,-12.89,-9.35,-3.91,1.88,5.28,3.94,0.80,-6.37,-7.96,-14.46,-14.12,-8.72,3.70,-4.51,-5.91
1968,-16.29,-15.03,-18.24,-13.65,-5.42,0.78,4.63,3.81,-1.41,-13.58,-15.89,-20.53,-15.26,-12.44,3.07,-10.29,-8.73
1969,-14.97,-16.80,-21.18,-16.63,-3.53,0.47,6.75,4.54,2.66,-2.14,-10.39,-9.25,-17.43,-13.78,3.92,-3.29,-7.65
1970,-13.51,-17.49,-11.13,-13.51,-2.92,1.84,5.79,4.34,0.22,-3.59,-11.53,-12.75,-13.42,-9.19,3.99,-4.97,-5.89
1971,-20.78,-11.09,-16.05,-11.68,-2.79,4.06,6.06,4.42,0.44,-6.70,-15.83,-9.70,-14.87,-10.17,4.85,-7.36,-6.89
1972,-3.63,-10.27,-9.37,-11.13,-2.85,3.78,6.01,5.31,2.63,999.90,999.90,999.90,-7.87,-7.78,5.03,999.90,-3.09
1973,999.90,-16.29,-13.03,-7.90,-3.84,2.50,5.70,3.69,0.69,-6.51,999.90,999.90,999.90,-8.26,3.96,-4.97,-5.34
1974,-6.86,999.90,999.90,-11.51,-4.19,2.40,6.93,5.68,0.95,-2.65,-6.06,-6.63,999.90,-9.99,5.00,-2.59,-4.78
1975,999.90,-10.66,-15.63,-9.36,-4.58,1.02,5.31,4.92,999.90,-6.11,-10.14,-17.26,-8.92,-9.86,3.75,-5.78,-5.20
1976,-13.19,-11.84,-6.75,-8.95,-2.48,2.61,6.22,4.55,-0.19,-3.17,-7.16,-7.50,-14.10,-6.06,4.46,-3.51,-4.80
1977,-10.22,-16.14,-22.49,-15.82,-4.97,1.08,5.77,4.83,0.24,-3.59,-6.46,-8.83,-11.29,-14.43,3.89,-3.27,-6.27
